Alloy Name,DOIs
Al0.4Co0.5V0.6FeNi,"['10.1016.j.jallcom.2022.165043', '10.1016.j.intermet.2023.107941']"
Al0.4CoCrCuFeNi,"['10.1016.j.jmst.2020.11.044', '10.1016.j.jmst.2020.01.039']"
Al0.4CoCrFeNi,"['10.1016.j.jmst.2018.09.002', '10.1016.j.matdes.2023.111847', '10.1016.j.intermet.2012.03.005', '10.1016.j.intermet.2018.01.021', '10.1016.S1003-6326(15)63733-5', '10.1016.j.jmst.2020.01.057', '10.1016.j.msea.2021.141253', '10.1016.j.wear.2019.203028', '10.1016.j.matlet.2024.136084', '10.1016.j.corsci.2021.110038', '10.1016.j.jnucmat.2021.153364', '10.1016.j.addma.2023.103548', '10.1016.j.apsusc.2021.152383', '10.1016.j.intermet.2022.107709', '10.1016.j.jmrt.2024.02.075', '10.1016.j.jmrt.2024.06.177', '10.1016.j.mtnano.2022.100263']"
Al0.4CoCu0.6NiSi0.2Ti0.25,"['10.1016.j.vacuum.2018.06.020', '10.1016.j.jmst.2020.07.001']"
Al0.4CrCuFeNi2,"['10.1016.j.corsci.2022.110697', '10.1016.j.matchar.2018.07.030']"
Al0.4CrMnFeCoNi,"['10.1016.j.pmatsci.2023.101090', '10.1016.S1003-6326(20)65250-5', '10.1016.j.msea.2019.05.095']"
Al0.4Hf0.6NbTaTiZr,"['10.1016.j.pmatsci.2020.100714', '10.1016.j.actamat.2014.01.029', '10.1016.j.cossms.2017.08.003']"
Al0.4Si0.2CrFeCoNiCu0.6,"['10.1016.j.jallcom.2016.09.213', '10.1016.j.matdes.2015.11.013']"
Al0.51CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.jallcom.2020.154025']"
Al0.55CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.intermet.2018.01.021']"
Al0.57CoCrFeNi,"['10.1016.j.matdes.2023.111847', '10.1016.j.jallcom.2020.156321']"
Al0.5Co1.5CrFeNi1.5,"['10.1016.j.jallcom.2015.09.042', '10.1016.j.jallcom.2020.157521', '10.1016.j.jallcom.2020.154707']"
